rule,text,cited_laws
2.(ii),"(ii) the umpire shall inform the other umpire, the captain of the
fielding side, the batsmen and, as soon as practicable, the
captain of the batting side of the reason for this action.
",
2.(iii),"(iii) the umpires together shall report the occurrence as soon as
possible to the Executive of the fielding side and any
Governing Body responsible for the match, who shall take
such action as is considered appropriate against the captain
player concerned
10
",
2.7. ,"7. Runner
The player acting as a runner for a batsman shall be a member
of the batting side and shall, if possible, have already batted in
that innings. The runner shall wear external protective equipment
equivalent to that worn by the batsman for whom he runs and
shall carry a bat.
",
2.8. ,"8. Transgression of the Laws by a batsman who has a runner
",
2.(a),"(a) A batsman's runner is subject to the Laws. He will be regarded
as a batsman except where there are specific provisions for
his role as a runner See 7 above and Law 29.2 (Which is a
batsman's ground).
","7, 29.2"
2.(b),"(b) A batsman with a runner will suffer the penalty for any
infringement of the Laws by his runner as though he had been
himself responsible for the infringement. In particular he will
be out if his runner is out under any of Laws 33 (Handled the
ball), 37 (Obstructing the field) or 38 (Run out).
","33, 37, 38"
2.(c),"(c) When a batsman with a runner is striker he remains himself
subject to the Laws and will be liable to the penalties that any
infringement of them demands.
Additionally, if he is out of his ground when the wicket is put
down at the wicket-keeper's end, he will be out in the
circumstances of Law 38 (Run out) or Law 39 (Stumped)
irrespective of the position of the non-striker or of the runner. If
he is thus dismissed, runs completed by the runner and the
other batsman before the dismissal shall not be scored.
However, the penalty for a No ball or a Wide shall stand,
together with any penalties to either side that may be awarded
when the ball is dead. See Law 42.17 (Penalty runs).
","38, 39, 42.17"
2.(d),"(d) When a batsman with a runner is not the striker
",
2.(i),"(i) he remains subject to Laws 33 (Handled the ball) and 37
(Obstructing the field) but is otherwise out of the game.
","33, 37"
2.(ii),"(ii) he shall stand where directed by the striker's end umpire
so as not to interfere with play.
11
",
2.(iii),"(iii) he will be liable, notwithstanding (i) above, to the penalty
demanded by the Laws should he commit any act of unfair
play.
",
2.9. ,"9. Batsman leaving the field or retiring
A batsman may retire at any time during his innings. The umpires,
before allowing play to proceed, shall be informed of the reason
for a batsman retiring.
",
2.(a),"(a) If a batsman retires because of illness, injury or any other
unavoidable cause, he is entitled to resume his innings subject
to (c) below. If for any reason he does not do so, his innings
is to be recorded as 'Retired - not out'.
",
2.(b),"(b) If a batsman retires for any reason other than as in (a) above,
he may only resume his innings with the consent of the
opposing captain. If for any reason he does not resume his
innings it is to be recorded as 'Retired - out'.
",
2.(c),"(c) If after retiring a batsman resumes his innings, it shall be only
at the fall of a wicket or the retirement of another batsman.
",
2.10. ,"10. Commencement of a batsman's innings
Except at the start of a side's innings, a batsman shall be
considered to have commenced his innings when he first steps on
to the field of play, provided Time has not been called. The
innings of the opening batsmen, and that of any new batsman at
the resumption of play after a call of Time, shall commence at the
call of Play.
",
3,"LAW 3 THE UMPIRES
",3
3.1. ,"1. Appointment and attendance
Before the match, two umpires shall be appointed, one for each
end, to control the game as required by the Laws, with absolute
impartiality. The umpires shall be present on the ground and
report to the Executive of the ground at least 45 minutes before
the scheduled start of each day's play.
12
",
3.2. ,"2. Change of umpire
An umpire shall not be changed during the match, other than in
exceptional circumstances, unless he is injured or ill. If there has
to be a change of umpire, the replacement shall act only as the
striker's end umpire unless the captains agree that he should take
full responsibility as an umpire.
",
3.3. ,"3. Agreement with captains
Before the toss the umpires shall
",
3.(a),"(a) ascertain the hours of play and agree with the captains
",
3.(i),"(i) the balls to be used during the match. See Law 5 (The
ball).
",5
3.(ii),"(ii) times and durations of intervals for meals and times for
drinks intervals. See Law 15 (Intervals).
",15
3.(iii),"(iii) the boundary of the field of play and allowances for
boundaries. See Law 19 (Boundaries).
",19
3.(iv),"(iv) any special conditions of play affecting the conduct of the
match.
",
3.(b),"(b) inform the scorers of the agreements in (ii), (iii) and (iv)
above.
",
3.4. ,"4. To inform captains and scorers
Before the toss the umpires shall agree between themselves and
inform both captains and both scorers
",
3.(i),"(i) which clock or watch and back-up time piece is to be used
during the match.
",
3.(ii),"(ii) whether or not any obstacle within the field of play is to be
regarded as a boundary. See Law 19 (Boundaries).
",19
3.5. ,"5. The wickets, creases and boundaries
Before the toss and during the match, the umpires shall satisfy
themselves that
",
3.(i),"(i) the wickets are properly pitched. See Law 8 (The wickets).
",8
3.(ii),"(ii) the creases are correctly marked. See Law 9 (The bowling,
popping and return creases).
",9
3.(iii),"(iii) the boundary of the field of play complies with the
requirements of Law 19.2 (Defining the boundary - boundary
marking).
",19.2
3.6. ,"6. Conduct of the game, implements and equipment
Before the toss and during the match, the umpires shall satisfy
themselves that
",
3.(a),"(a) the conduct of the game is strictly in accordance with the
Laws.
",
3.(b),"(b) the implements of the game conform to the requirements of
Laws 5 (The ball) and 6 (The bat), together with either Laws
8.2 (Size of stumps) and 8.3 (The bails) or, if appropriate,
Law 8.4 (Junior cricket).
","5, 6, 8.2, 8.3, 8.4"
3.(c),"(c) (i) no player uses equipment other than that permitted. See
Appendix D
",D
3.(ii),"(ii) the wicket-keeper's gloves comply with the requirements of
Law 40.2 (Gloves).
",40.2
3.7. ,"7. Fair and unfair play
The umpires shall be the sole judges of fair and unfair play.
",
3.8. ,"8. Fitness of ground, weather and light
The umpires shall be the final judges of the fitness of the ground,
weather and light for play. See 9 below and Law 7.2 (Fitness of
the pitch for play).
","7.2, 9"
3.9. ,"9. Suspension of play for adverse conditions of ground, weather or
light
",
3.(a),"(a) (i) All references to ground include the pitch. See Law 7.1
(Area of pitch).
",7.1
3.(ii),"(ii) For the purpose of this Law and Law 15 9(b)(ii) (Intervals
for drinks) only, the batsmen at the wicket may deputise for
their captain at any appropriate time.
","9, 15"
3.(b),"(b) If at any time the umpires together agree that the condition of
the ground, weather or light is not suitable for play, they shall
inform the captains and, unless
",
3.(i),"(i) in unsuitable ground or weather conditions both captains
agree to continue, or to commence, or to restart play,
",
3.(ii),"(ii) in unsuitable light the batting side wish to continue, or
to commence, or to restart play,
they shall suspend play, or not allow play to commence or to
restart
",
3.(c),"(c) (i) After agreeing to play in unsuitable ground or weather
conditions, either captain may appeal against the
conditions to the umpires before the next call of Time. The
umpires shall uphold the appeal only if, in their opinion,
the factors taken into account when making their previous
decision are the same or the conditions have further
deteriorated.
",
3.(ii),"(ii) After deciding to play in unsuitable light, the captain of
the batting side may appeal against the light to the
umpires before the next call of Time. The umpires shall
uphold the appeal only if, in their opinion, the factors
taken into account when making their previous decision
are the same or the condition of the light has further
deteriorated.
",
3.(d),"(d) If at any time the umpires together agree that the conditions of
ground, weather or light are so bad that there is obvious and
foreseeable risk to the safety of any player or umpire, so that
it would be unreasonable or dangerous for play to take place,
then notwithstanding the provisions of (b)(i) and (b)(ii) above,
they shall immediately suspend play, or not allow play to
commence or to restart. The decision as to whether conditions
are so bad as to warrant such action is one for the umpires
alone to make.
The fact that the grass and the ball are wet and slippery does
not warrant the ground conditions being regarded as
unreasonable or dangerous. If the umpires consider the
ground is so wet or slippery as to deprive the bowler of a
reasonable foothold, the fielders of the power of free
movement, or the batsmen of the ability to play their strokes
15
to run between the wickets, then these conditions shall be
regarded as so bad that it would be unreasonable for play to
take place.
",
3.(e),"(e) When there is a suspension of play it is the responsibility of
the umpires to monitor the conditions. They shall make
inspections as often as appropriate, unaccompanied by any
of the players or officials. Immediately the umpires together
agree that conditions are suitable for play they shall call upon
the players to resume the game.
",
3.(f),"(f) If play is in progress up to the start of an agreed interval then
it will resume after the interval unless the umpires together
agree that conditions are or have become unsuitable or
dangerous If they do so agree, then they shall implement the
procedure in (b) or (d) above, as appropriate, whether or not
there had been any decision by the captains to continue, or
any appeal against the conditions by either captain, prior to
the commencement of the interval.
",
3.10. ,"10. Exceptional circumstances
The umpires shall have the discretion to implement the procedures
of 9 above for reasons other than ground, weather or light if they
consider that exceptional circumstances
warrant it.
",
3.11. ,"11. Position of umpires
The umpires shall stand where they can best see any act upon
which their decision may be required.
Subject to this over-riding consideration the umpire at the bowler's
end shall stand where he does not interfere with either the
bowler's run up or the striker's view.
The umpire at the striker's end may elect to stand on the off side
instead of the on side of the pitch, provided he informs the captain
of the fielding side, the striker and the other umpire of his intention
to do so.
",
3.12. ,"12. Umpires changing ends
The umpires shall change ends after each side has had one
completed innings. See Law 14.2 (Forfeiture of an innings).

16
",14.2
3.13. ,"13. Consultation between umpires
All disputes shall be determined by the umpires. The umpires shall
consult with each other whenever necessary. See also Law 27.6
(Consultation by umpires).
",27.6
3.14. ,"14. Signals
",
3.(a),"(a) The following code of signals shall be used by umpires.
",
3.(i),"(i) Signals made while the ball is in play
Dead ball - by crossing and re-crossing the wrists below the waist.
No ball - by extending one arm horizontally.
Out - by raising an index
finger above the head. (If not out the umpire shall call Not out.)
Wide - by extending both arms horizontally.
",
3.(ii),"(ii) When the ball is dead, the signals above, with the
exception of the signal for Out, shall be repeated to the
scorers. The signals listed below shall be made to the
scorers only when the ball is dead.
Boundary 4 - by waving an arm from side to side finishing with the arm
across the chest.
Boundary 6 - by raising both arms above the head.
Bye - by raising an
open hand above the head.
Commencement - by pointing to a raised wrist with the
of last hour other hand.
Five penalty - by repeated tapping of one shoulder
runs awarded to with the opposite hand.
the batting side
Five penalty - by placing one hand on the opposite
runs awarded to shoulder.
the fielding side
Leg bye - by touching a raised knee with the hand.

17
New ball - by holding the ball above the head.
Revoke - by touching both shoulders, each with
last signal the opposite hand.
Short run - by bending one arm upwards and
touching the nearer shoulder with the
tips of the fingers.
",
3.(b),"(b) The umpires shall wait until each signal to the scorers has
been separately acknowledged by a scorer before allowing
play to proceed.
",
3.15. ,"15. Correctness of scores
Consultation between umpires and scorers on doubtful points is
essential. The umpires shall satisfy themselves as to the correctness
of the number of runs scored, the wickets that have fallen and,
where appropriate, the number of overs bowled. They shall agree
these with the scorers at least at every interval, other than a drinks
interval, and at the conclusion of the match. See Laws 4.2
(Correctness of scores), 21.8 (Correctness of result) and 21.10
(Result not to be changed).
","4.2, 21.8, 21.10"
4,"LAW 4 THE SCORERS
",4
4.1. ,"1. Appointment of scorers
Two scorers shall be appointed to record all runs scored, all
wickets taken and, where appropriate, number of overs bowled.
",
4.2. ,"2. Correctness of scores
The scorers shall frequently check to ensure that their records
agree. They shall agree with the umpires, at least at every
interval, other than a drinks interval, and at the conclusion of the
match, the runs scored, the wickets that have fallen and, where
appropriate, the number of overs bowled. See Law 3.15
(Correctness of scores).
",3.15
4.3. ,"3. Acknowledging signals
The scorers shall accept all instructions and signals given to them

18
by the umpires. They shall immediately acknowledge each
separate signal.
",
5,"LAW 5 THE BALL
",5
5.1. ,"1. Weight and size
The ball, when new, shall weigh not less than 5½ ounces/155.9g,
nor more than 5¾ ounces/163g, and shall measure not less than
8¾ in/22.4cm, nor more than 9 in/22.9cm in circumference.
",
5.2. ,"2. Approval and control of balls
",
5.(a),"(a) All balls to be used in the match, having been approved by
the umpires and captains, shall be in the possession of the
umpires before the toss and shall remain under their control
throughout the match.
",
5.(b),"(b) The umpire shall take possession of the ball in use at the fall
of each wicket, at the start of any interval and at any
interruption of play.
",
5.3. ,"3. New ball
Unless an agreement to the contrary has been made before the
match, either captain may demand a new ball at the start of each
innings.
",
5.4. ,"4. New ball in match of more than one day's duration
In a match of more than one day's duration, the captain of the
fielding side may demand a new ball after the prescribed number
of overs has been bowled with the old one. The Governing Body
for cricket in the country concerned shall decide the number of
overs applicable in that country, which shall not be less than 75
overs.
The umpires shall indicate to the batsmen and the scorers
whenever a new ball is taken into play.
",
5.5. ,"5. Ball lost or becoming unfit for play
If, during play, the ball cannot be found or recovered or the

19
umpires agree that it has become unfit for play through normal
use, the umpires shall replace it with a ball which has had wear
comparable with that which the previous ball had received before
the need for its replacement. When the ball is replaced the
umpires shall inform the batsmen and the fielding captain.
",
5.6. ,"6. Specifications
The specifications as described in 1 above shall apply to men's
cricket only. The following specifications will apply to
",
5.(i),"(i) Women's cricket
Weight: from 4⅞ ounces/140g to 5⅝ ounces /151g
Circumference: from 8¼ in/21.0cm to 8⅞ in/22.5cm
",
5.(ii),"(ii) Junior cricket - under 13
Weight: from 4¹¹/₁₆ ounces/133g to 5¹/₁₆ ounces/144g
Circumference: from 8¹/₁₆ in/20.5cm to 8¹¹/₁₆ in/22.0cm
",
6,"LAW 6 THE BAT
",6
6.1. ,"1. Width and length
The bat overall shall not be more than 38 inches/96.5cm in
length. The blade of the bat shall be made solely of wood and
shall not exceed 4¼ in/10.8cm at the widest part.
",
6.2. ,"2. Covering the blade
The blade may be covered with material for protection,
strengthening or repair. Such material shall not exceed
¹/₁₆ in/1.56mm in thickness, and shall not be likely to cause
unacceptable damage to the ball.
",
6.3. ,"3. Hand or glove to count as part of bat
In these Laws,
",
6.(a),"(a) reference to the bat shall imply that the bat is held by the
batsman.
",
6.(b),"(b) contact between the ball and
",
6.(i),"(i) the striker's bat itself

20
",
6.(ii),"(ii) the striker's hand holding the bat
",
6.(iii),"(iii) any part of a glove worn on the striker's hand
holding the bat
shall be regarded as the ball striking or touching the bat, or
being struck by the bat.
",
7,"LAW 7 THE PITCH
",7
7.1. ,"1. Area of pitch
The pitch is a rectangular area of the ground 22 yards/20.12m
in length and 10ft/3.05m in width. It is bounded at either end by
the bowling creases and on either side by imaginary lines, one
each side of the imaginary line joining the centres of the two
middle stumps, each parallel to it and 5ft/1.52m from it. See
Laws 8.1 (Width and pitching) and 9.2 (The bowling crease).
","8.1, 9.2"
7.2. ,"2. Fitness of the pitch for play
The umpires shall be the final judges of the fitness of the pitch for
play. See Laws 3.8 (Fitness of ground, weather and light) and 3.9
(Suspension of play for adverse conditions of ground, weather or
light).
","3.8, 3.9"
7.3. ,"3. Selection and preparation
Before the match, the Ground Authority shall be responsible for
the selection and preparation of the pitch. During the match, the
umpires shall control its use and maintenance.
",
7.4. ,"4. Changing the pitch
The pitch shall not be changed during the match unless the
umpires decide that it is unreasonable or dangerous for play to
continue on it and then only with the consent of both captains.
",
7.5. ,"5. Non-turf pitches
In the event of a non-turf pitch being used, the artificial surface
shall conform to the following measurements:
Length - a minimum of 58ft/17.68m
Width - a minimum of 6ft/1.83m
See Law 10.8 (Non-turf pitches).

21
","1, 10.8, 17"
8,"LAW 8 THE WICKETS
",8
"8.1.
","1.
",
"8.2.
","2.
",
"8.3.
","3.
",
"8.4.
","4.
Width and pitching
Two sets of wickets shall be pitched opposite and parallel to each
other at a distance of 22 yards/20.12m between the centres of
the two middle stumps. Each set shall be 9 in/22.86cm wide and
shall consist of three wooden stumps with two wooden bails on
top. See Appendix A
Size of stumps
The tops of the stumps shall be 28 in/71.1cm above the playing
surface and shall be dome shaped except for the bail grooves.
The portion of a stump above the playing surface shall be
cylindrical, apart from the domed top, with circular section of
diameter not less than 1⅜ in/3.49cm nor more than
1½ in/3.81cm. See Appendix A.
The bails
","A, A"
8.(a),"(a) The bails, when in position on the top of the stumps,
",
8.(i),"(i) shall not project more than ½ in/1.27cm above them.
",
8.(ii),"(ii) shall fit between the stumps without forcing them out of the
vertical.
",
8.(b),"(b) Each bail shall conform to the following specifications. See
Appendix A.
Overall length:-
Length of barrel:
Longer spigot:-
Shorter spigot:-
Junior cricket
In junior cricket, the same definitions of the wickets shall apply
subject to the following measurements being used.
Width:-
Pitched for under 13:-
Pitched for under 11:-
Pitched for under 9:-
Height above playing surface:- 27 in/68.58cm
4⁵/₁₆ in/10.95cm
2⅛ in/5.40cm
1⅜ in/3.49cm
¹³/₁₆ in/2.06cm
8 in/20.32cm
21 yards/19.20m
20 yards/18.29m
18 yards/16.46m

22
Each stump
Diameter:-
Each bail
Overall
Barrel:-
Longer Spigot:-
Shorter Spigot:-
not less than 1¼ in/3.18cm
nor more than 1⅜ in/3.49cm
3¹³/₁₆ in/9.68cm
1¹³/₁₆ in/4.60cm
1¼ in/3.18cm
¾ in/1.91cm
",A
8.5. ,"5. Dispensing with bails
The umpires may agree to dispense with the use of bails, if
necessary. If they so agree then no bails shall be used at either
end. The use of bails shall be resumed as soon as conditions
permit. See Law 28.4 (Dispensing with bails).
",28.4
9,"LAW 9 THE BOWLING, POPPING AND RETURN CREASES
",9
9.1. ,"1. The creases
A bowling crease, a popping crease and two return creases shall
be marked in white, as set out in 2, 3 and 4 below, at each end
of the pitch. See Appendix B.
",B
9.2. ,"2. The bowling crease
The bowling crease, which is the back edge of the crease
marking, shall be the line through the centres of the three stumps
at that end. It shall be 8ft 8 in/2.64m in length, with the stumps
in the centre.
",
9.3. ,"3. The popping crease
The popping crease, which is the back edge of the crease
marking, shall be in front of and parallel to the bowling crease
shall be 4ft/1.22m from it. The popping crease shall be
marked to a minimum of 6ft/1.83m on either side of the
imaginary line joining the centres of the middle stumps and shall
be considered to be unlimited in length.

23
",
9.4. ,"4. The return creases
The return creases, which are the inside edges of the crease
markings, shall be at right angles to the popping crease at a
distance of 4ft 4 in/1.32m either side of the imaginary line
joining the centres of the two middle stumps. Each return crease
shall be marked from the popping crease to a minimum of
8ft/2.44m behind it and shall be considered to be unlimited in
length.
",
10,"LAW 10 PREPARATION AND MAINTENANCE OF THE PLAYING AREA
",10
10.1. ,"1. Rolling
The pitch shall not be rolled during the match except as permitted
in (a) and (b) below.
",
10.(a),"(a) Frequency and duration of rolling
During the match the pitch may be rolled at the request of the
captain of the batting side, for a period of not more than 7
minutes, before the start of each innings, other than the first
innings of the match, and before the start of each subsequent
day's play. See (d) below.
",
10.(b),"(b) Rolling after a delayed start
In addition to the rolling permitted above, if, after the toss and
before the first innings of the match, the start is delayed, the
captain of the batting side may request to have the pitch rolled
for not more than 7 minutes. However, if the umpires together
agree that the delay has had no significant effect on the state
of the pitch, they shall refuse the request for the rolling of the
pitch.
",
10.(c),"(c) Choice of rollers
If there is more than one roller available the captain of the
batting side shall have the choice.
",
10.(d),"(d) Timing of permitted rolling
The rolling permitted (maximum 7 minutes) before play begins
on any day shall be started not more than 30 minutes before
the time scheduled or rescheduled for play to begin. The

24
captain of the batting side may, however, delay the start of
such rolling until not less than 10 minutes before the time
scheduled or rescheduled for play to begin, should he so
desire.
",
10.(e),"(e) Insufficient time to complete rolling
If a captain declares an innings closed, or forfeits an innings,
enforces the follow-on, and the other captain is prevented
thereby from exercising his option of the rolling permitted
(maximum 7 minutes), or if he is so prevented for any other
reason, the extra time required to complete the rolling shall be
taken out of the normal playing time.
",
10.2. ,"2. Sweeping
",
10.(a),"(a) If rolling is to take place the pitch shall first be swept to
avoid
any possible damage by rolling in debris. This sweeping shall
be done so that the 7 minutes allowed for rolling is not
affected.
",
10.(b),"(b) The pitch shall be cleared of any debris at all intervals for
meals, between innings and at the beginning of each day, not
earlier than 30 minutes nor later than 10 minutes before the
time scheduled or rescheduled for play to begin. See Law
15.1 (An interval).
",15.1
10.(c),"(c) Notwithstanding the provisions of (a) and (b) above, the
umpires shall not allow sweeping to take place where they
consider it may be detrimental to the surface of the pitch.
",
10.3. ,"3. Mowing
",
10.(a),"(a) The pitch
The pitch shall be mown on each day of the match on which
play is expected to take place, if ground and weather
conditions allow.
",
10.(b),"(b) The outfield
In order to ensure that conditions are as similar as possible for
both sides, the outfield shall be mown on each day of the
match on which play is expected to take place, if ground and
weather conditions allow.

25
If, for reasons other than ground and weather conditions,
complete mowing of the outfield is not possible, the Ground
Authority shall notify the captains and umpires of the
procedure to be adopted for such mowing during the match.
",
10.(c),"(c) Responsibility for mowing
All mowings which are carried out before the match shall be
the responsibility of the Ground Authority.
All subsequent mowings shall be carried out under the
supervision of the umpires.
",
10.(d),"(d) Timing of mowing
",
10.(i),"(i) Mowing of the pitch on any day of the match shall be
completed not later than 30 minutes before the time
scheduled or rescheduled for play to begin on that day.
",
10.(ii),"(ii) Mowing of the outfield on any day of the match shall be
completed not later than 15 minutes before the time
scheduled or rescheduled for play to begin on that day.
",
10.4. ,"4. Watering
The pitch shall not be watered during the match.
",
10.5. ,"5. Re-marking creases
The creases shall be re-marked whenever either umpire considers
it necessary.
",
10.6. ,"6. Maintenance of footholes
The umpires shall ensure that the holes made by the bowlers and
batsmen are cleaned out and dried whenever necessary to
facilitate play. In matches of more than one day's duration, the
umpires shall allow, if necessary, the re-turfing or footholes made
by the bowler in his delivery stride, or the use of quick-setting
fillings for the same purpose.
",
10.7. ,"7. Securing of footholds and maintenance of pitch
During play, the umpires shall allow the players to secure their
footholds by the use of sawdust provided that no damage to the
pitch is caused and that Law 42 (Fair and unfair play) is not
contravened.

26
",42
10.8. ,"8. Non-turf pitches
Wherever appropriate, the provisions set out in 1 to 7 above shall
apply.
",
11,"LAW 11 COVERING THE PITCH
",11
11.1. ,"1. Before the match
The use of covers before the match is the responsibility of the
Ground Authority.
may include full covering if required.
However, the Ground Authority shall grant suitable facility to the
captains to inspect the pitch before the nomination of their players
to the umpires to discharge their duties as laid down in Laws
3 (The umpires), 7 (The pitch), 8 (The wickets), 9 (The bowling,
popping and return creases) and 10 (Preparation and
maintenance of the playing area).

","3, 7, 8, 9, 10"
11.2. ,"2. During the match
The pitch shall not be completely covered during the match unless
provided otherwise by regulations or by agreement before the
toss.

",
11.3. ,"3. Covering bowlers' run ups
Whenever possible, the bowlers' run ups shall be covered in
inclement weather, in order to keep them dry. Unless there is
agreement for full covering under 2 above the covers so used shall
not extend further than 5ft/1.52m in front of each popping
crease.

",
11.4. ,"4. Removal of covers
",
11.(a),"(a) If after the toss the pitch is covered overnight, the covers
shall
be removed in the morning at the earliest possible moment on
each day that play is expected to take place.
",
11.(b),"(b) If covers are used during the day as protection from inclement
weather, or if inclement weather delays the removal of
overnight covers, they shall be removed promptly as soon as
conditions allow.

27
",
12,"LAW 12 INNINGS
",12
12.1. ,"1. Number of innings
",
12.(a),"(a) A match shall be one or two innings of each side according
to agreement reached before the match.
",
12.(b),"(b) It may be agreed to limit any innings to a number of overs or
by a period of time. If such an agreement is made then
",
12.(i),"(i) in a one innings match it shall apply to both innings.
",
12.(ii),"(ii) in a two innings match it shall apply to
the first innings of each side
the second innings of each side
both innings of each side.

",
12.2. ,"2. Alternate innings
In a two innings match each side shall take their innings
alternately except in the cases provided for in Law 13 (The follow-
on) or Law 14.2 (Forfeiture of an innings).

","13, 14.2"
12.3. ,"3. Completed innings
A side's innings is to be considered as completed if
",
12.(a),"(a) the side is all out
",
12.(b),"(b) at the fall of a wicket, further balls remain to be bowled,
but no further batsman is available to come in
",
12.(c),"(c) the captain declares the innings closed
",
12.(d),"(d) the captain forfeits the innings
",
12.(e),"(e) in the case of an agreement under 1 (b) above,
",
12.(i),"(i) the prescribed number of overs has been bowled
",
12.(ii),"(ii) the prescribed time has expired.

",
12.4. ,"4. The toss
The captains shall toss for the choice of innings on the field of play
not earlier than 30 minutes, nor later than 15 minutes, before the
scheduled or any rescheduled time for the match to start. Note,
however, the provisions of Law 1.3 (Captain).

",1.3
12.5. ,"5. Decision to be notified
The captain of the side winning the toss shall notify the opposing

28
captain of his decision to bat or to field, not later than 10 minutes
before the scheduled or any rescheduled time for the match to
start. Once notified the decision may not be altered.

",
13,"LAW 13 THE FOLLOW-ON
",13
13.1. ,"1. Lead on first innings
",
13.(a),"(a) In a two innings match of 5 days or more, the side which bats
first and leads by at least 200 runs shall have the option of
requiring the other side to follow their innings.
",
13.(b),"(b) The same option shall be available in two innings matches of
shorter duration with the minimum required leads as follows:
",
13.(i),"(i) 150 runs in a match of 3 or 4 days;
",
13.(ii),"(ii) 100 runs in a 2-day match;
",
13.(iii),"(iii) 75 runs in a 1-day match.

",
13.2. ,"2. Notification
A captain shall notify the opposing captain and the umpires of his
intention to take up this option. Law 10.1(e) (Insufficient time to
complete rolling) shall apply.

",10.1
13.3. ,"3. First day's play lost
If no play takes place on the first day of a match of more than one
day's duration, 1 above shall apply in accordance with the
number of days remaining from the actual start of the match. The
day on which play first commences shall count as a whole day for
this purpose, irrespective of the time at which play starts.
Play will have taken place as soon as, after the call of Play, the
first over has started. See Law 22.2 (Start of an over).

",22.2
14,"LAW 14 DECLARATION AND FORFEITURE
",14
14.1. ,"1. Time of declaration
The captain of the batting side may declare an innings closed,
when the ball is dead, at any time during a match.

29
",
14.2. ,"2. Forfeiture of on innings
A captain may forfeit either of his side's innings. A forfeited
innings shall be considered as a completed innings.

",
14.3. ,"3. Notification
A captain shall notify the opposing captain and the umpires of his
decision to declare or to forfeit an innings. Law 10.1(e)
(Insufficient time to complete rolling) shall apply.

",10.1
15,"LAW 15 INTERVALS
",15
15.1. ,"1. An interval
The following shall be classed as intervals.
",
15.(i),"(i) The period between close of play on one day and the start of
the next day's play.
",
15.(ii),"(ii) Intervals between innings.
",
15.(iii),"(iii) Intervals for meals.
",
15.(iv),"(iv) Intervals for drinks.
",
