rule,text,cited_laws
1,"LAW 1 THE PLAYERS
",1
1.1. ,"1. Number of players
A match is played between two sides, each of eleven players, one
of whom shall be captain.
By agreement a match may be played between sides of more or
less than eleven players, but not more than eleven players may
field at any time.
",
1.2. ,"2. Nomination of players
Each captain shall nominate his players in writing to one of the
umpires before the toss. No player may be changed after the
nomination without the consent of the opposing captain.
",
1.3. ,"3. Captain
If at any time the captain is not available, a deputy shall act for
him.
",
1.(a),"(a) If a captain is not available during the period in which the toss
is to take place, then the deputy must be responsible for the
nomination of the players, if this has not already been done,
for the toss. See 2 above and Law 12.4 (The toss).
","2, 12.4"
1.(b),"(b) At any time after the toss, the deputy must be one of the
nominated players.
",
1.4. ,"4. Responsibility of captains
The captains are responsible at all times for ensuring that play is
conducted within the spirit and traditions of the game as well as
within the Laws. See The Preamble - The Spirit of Cricket and Law
42.1 (Fair and unfair play - responsibility of captains).
8
",42.1
2,"LAW 2 SUBSTITUTES AND RUNNERS;
BATSMAN OR FIELDER LEAVING THE FIELD;
BATSMAN RETIRING;
BATSMAN COMMENCING INNINGS
",2
2.1. ,"1. Substitutes and runners
",
2.(a),"(a) If the umpires are satisfied that a player has been injured or
become ill after the nomination of the players, they shall allow
that player to have
",
2.(i),"(i) a substitute acting instead of him in the field.
",
2.(ii),"(ii) a runner when batting.
Any injury or illness that occurs at any time after the
nomination of the players until the conclusion of the match
shall be allowable, irrespective of whether play is in progress
not.
",
2.(b),"(b) The umpires shall have discretion, for other wholly acceptable
reasons, to allow a substitute for a fielder, or a runner for a
batsman, at the start of the match or at any subsequent time.
",
2.(c),"(c) A player wishing to change his shirt, boots, etc. must leave the
field to do so. No substitute shall be allowed for him
",
2.2. ,"2. Objection to substitutes
The opposing captain shall have no right of objection to any
player acting as a substitute on the field, nor as to where the
substitute shall field. However, no substitute shall act as wicket-
keeper. See 3 below.
",
2.3. ,"3. Restrictions on the role of substitutes
A substitute shall not be allowed to bat or bowl nor to act as
wicket-keeper or as captain on the field of play.
",
2.4. ,"4. A player for whom a substitute has acted
A player is allowed to bat, bowl or field even though a substitute
has previously acted for him.
",
2.5. ,"5. Fielder absent or leaving the field
If a fielder fails to take the field with his side at the start of the
9
match or at any later time, or leaves the field during a session of
play,
",
2.(a),"(a) the umpire shall be informed of the reason for his absence.
",
2.(b),"(b) he shall not thereafter come on to the field during a session of
play without the consent of the umpire. See 6 below. The
umpire shall give such consent as soon as is practicable.
",
2.(c),"(c) if he is absent for 15 minutes or longer, he shall not be
permitted to bowl thereafter, subject to (i), (ii) or (iii) below,
until he has been on the field for at least that length of playing
time for which he was absent.
",
2.(i),"(i) Absence or penalty for time absent shall not be carried
over into a new day's play.
",
2.(ii),"(ii) If, in the case of a follow-on or forfeiture, a side fields for
two consecutive innings, this restriction shall, subject to (i)
above, continue as necessary into the second innings but
shall not otherwise be carried over into a new innings.
",
2.(iii),"(iii) The time lost for an unscheduled break in play shall be
counted as time on the field for any fielder who comes on
to the field at the resumption of play. See Law 15.1 (An
interval).
",15.1
2.6. ,"6. Player returning without permission
If a player comes on to the field of play in contravention of 5(b)
above and comes into contact with the ball while it is in play
",
2.(i),"(i) the ball shall immediately become dead and the umpire shall
award 5 penalty runs to the batting side. See Law 42.17
(Penalty runs).
",42.17
