rule,text
27. ,"27. Or, if the ball be struck,
or be struck by any part of his
person, and he wilfully strike it
again, except it be done for the
purpose of guarding his wicket,
which he may do with his bat or
any part of his person, except his
hands;—“Hit the ball twice.”

The Batsmen.
Either batsman is out—
"
28. ,"28. If in running, or at any
other time, while the ball is in
play, he be out of his ground,
and his wicket be struck down by
the ball after touching any fields-
man, or by the hand or arm, with
ball in hand, of any fieldsman —
“Run out.”

"
29. ,"29. Or, if he touch with his
hands or take up the ball while in
play, unless at the request of the
opposite side : — “Handled the
ball.”

"
30. ,"30. Or if he willfully obstruct
any fieldsman : — “Obstructing
the field.""

"
31. ,"31. If the batsmen have
crossed each other, he that runs
for the wicket which is put down
is out; if they have not crossed,
he that has left the wicket which
is put down is out.

"
32. ,"32. The striker being caught
no run shall be scored. A bats-
man being run out, that run
which was being attempted shall
not be scored.

"
33. ,"33. A batsman being out from
any cause, the ball shall be
""Dead.”

Lost Ball.
"
34. ,"34. If a ball in play cannot be
found or recovered, any fieldsman
may call ""Lost ball,"" when the
ball shall be ""dead;” six runs
shall be added to the score, but
if more than six runs have been
run before ""lost ball” has been
called, as many runs as have been
run shall be scored.

"
35. ,"35. After the ball shall have
been finally settled, in the wicket-
keeper’s or bowler’s hand it shall
be “dead,” but when the bowler,
is about to deliver the ball, if the
batsman at his wicket be out of
his ground before actual delivery,
the said bowler may run him out,
but if the bowler throw at that
wicket and any run result it shall
be scored “No ball.”

"
36. ,"36. A batsman shall not retire
from his wicket and return to it
to complete his innings after
another has been in, without the
consent of the opposite side.

Substitute.
"
37. ,"37. A substitute shall be
allowed to field or run between
wickets for any player who may
during the match be incapaciated
from illness or injury, but for no
other reason, except with the con-
sent of the opposite side.

"
38. ,"38. In all cases where a sub-
stitute shall be allowed, the con-
sent of the opposite side shall be
obtained as to the person to act
as substitute, and the place in the
field which he shall take.

"
39. ,"39. In case any substitute shall
be allowed to run between wickets,
the striker may be run out if either
he or his substitute be out of his
ground. If the striker be out of
his ground while the ball is in
play, that wicket which he has
left may be put down and the
striker given out, although the
other batsman may have made
good the ground at that end, and
the striker and his substitute at
the other end.

"
40. ,"40. A batsman is liable to be
out for any infringement of the
laws by his substitute.

The Fieldsman.
"
41. ,"41. The fieldsman may stop
the ball with any part of his per-
son, but if he wilfully stop it
otherwise, the ball shall be dead,
and five runs added to the score;
whatever runs may have been
made, five only shall be added.

The Wicket-Keeper.
"
42. ,"42. The wicket-keeper shall
stand behind the wicket. If he
shall take the ball for the purpose
of stumping before it has passed
the wicket, or if he shall incom-
mode the striker by any noise, or
motion, or if any part of his per-
son be over or before the wicket,
the striker shall not be out,
excepting under Laws 26, 27, 28,
29, and 30.

Duties of Umpires.
"
43. ,"43. The umpires are the sole
judges of fair or unfair play, of
the fitness of the ground, the
weather, and the light for play;
all disputes shall be determined
by them, and if they disagree, the
actual state of things shall con-
tinue.

"
44. ,"44. They shall pitch fair
wickets, arrange boundaries
where necessary, and the allow-
ances to be made for them, and
change ends after each side has
had one innings.

"
45. ,"45. They shall allow two
minutes for each striker to come
in, and ten minutes between each
innings. When they shall call
“Play,” the side refusing to play
shall lose the match.

"
46. ,"46. They shall not order a
batsman out unless appealed to
by the other side.

"
47. ,"47. The umpire at the bowler’s
wicket shall be appealed to before
the other umpire in all cases
except in those of stumping, hit
wicket, run out at the striker’s
wicket, or arising out of Law 42,
but in any case in which an
umpire is unable to give a
decision he shall appeal to the
other umpire, whose decision
shall be final.

"
48. ,"48. If the umpire at the
bowler's end be not satisfied of
the absolute fairness of the
delivery of any ball, he shall call
""No ball.”

48A. The umpire shall take
especial care to call “No ball”
instantly upon delivery, “Wide
ball” as soon as it shall have
passed the striker.

"
49. ,"49. If either batsman run a
short run, the umpire shall call
“One short,” and the run shall
not be scored.

"
50. ,"50. After the umpire has
called “Over,” the ball is
""dead,” but an appeal may be
made as to whether either bats-
man is out, such appeal, however,
shall not be made after the delivery
of the next ball, nor after any
cessation of play.

"
51. ,"51. No umpire shall be allowed
to bet.

"
52. ,"52. No umpire shall be changed
during a match unless with the
consent of both sides, except in
case of violation of Law 51, then
either side may dismiss him.

Following Innings.
"
53. ,"53. The side which goes in
second shall follow their innings,
if they have scored eighty runs
less than the opposite side.

"
54. ,"54. On the last day of a match
and in a one day match at any
time, the in-side may declare their
innings at any end.

One Day Matches.
"
1. ,"1. The side which goes in
second shall follow their innings
if they have scored 60 runs less
than the opposite side.

"
2. ,"2. The match, unless played
out, shall be decided by the first
innings. Prior to the commence-
ment of a match it may be agreed
that the over consist of 5 or 6
balls.

Single Wicket.
The Laws are, where they apply,
the same as the foregoing, with the
following alterations and additions.
"
1. ,"1. One wicket shall be pitched,
as in Law 6, with a bowling
stump opposite to it, at a distance
of twenty-two yards. The bowl-
ing crease shall be in a line with
the bowling stump, and drawn
according to Law 7.
"
2. ,"2. When there shall be less
than five players on a side,
bounds shall be placed twenty-
two yards each in a line from the
off and leg stump.
"
3. ,"3. The ball must be hit before
the bounds to entitle the striker
to a run, which run cannot be
obtained unless he touch the
bowling stump or crease in a line
with his bat, or some part of his
person, or go beyond them, and
return to the popping crease.
"
4. ,"4. When the striker shall hit
the ball, one of his feet must be
on the ground behind the popping
crease, otherwise the umpire shall
call ""No hit,"" and no run shall be
scored.
"
5. ,"5. When there shall be less
than five players on a side, neither
byes, leg-byes, nor other throws
shall be allowed, nor shall the
striker be caught out behind the
wicket, nor stumped.
"
6. ,"6. The fieldsman must return
the ball so that it shall cross the
ground between the wicket and
the bowling stump, or between
the bowling stump and the bounds;
the striker may run till the ball be
so returned.

"
7. ,"7. After the striker shall have
made one run, if he start again he
must touch the bowling stump or
crease, and turn before the bail
cross the ground to entitle him to
another.

"
8. ,"8. The striker shall be entitled
to three runs for lost ball, and the
same number for ball wilfully
stopped by a fieldsman, otherwise
than with any part of his person.

"
9. ,"9. When there shall be more
than four players on a side there
shall be no bounds. All hits,
byes, leg-byes, and overthrows
shall then be allowed.

"
10. ,"10. There shall be no restric-
tion as to the ball being bowled
in overs, but no more than one
minute shall be allowed between
each ball.
"
