rule,text
10.(c),"(c) Choice of Roller
If there is more than one roller available the Captain of the
batting side shall have a choice.
"
11,"LAW 11 COVERING THE PITCH
"
11.1. ,"1. Before the Start of a Match
Before the start of a match complete covering of the pitch shall
be allowed.
"
11.2. ,"2. During a Match
The pitch shall not be completely covered during a match
unless prior arrangement or regulations so provide.
"
11.3. ,"3. Covering Bowlers’ Run-Up
Whenever possible, the Bowlers’ run-up shall be covered, but
the covers so used shall not extend further than 4 ft./1.22 m. in
front of the popping crease.
NOTES
"
11.(a),"(a) Removal of Covers
The covers should be removed as promptly as possible whenever
the weather permits.
"
12,"LAW 12 INNINGS
"
12.1. ,"1. Number of Innings
A match shall be of one or two innings of each side according to
agreement reached before the start of play.
"
12.2. ,"2. Alternate Innings
In a two innings match each side shall take their innings
alternately except in the case provided for in Law 13. (The Follow-
On).
"
12.3. ,"3. The Toss
The Captains shall toss for the choice of innings on the field of
play not later than 15 minutes before the time scheduled for the
match to start, or before the time agreed upon for play to start.
"
12.4. ,"4. Choice of Innings
The winner of the toss shall notify his decision to bat or to field
to the opposing Captain not later than 10 minutes before the time
scheduled for the match to start, or before the time agreed upon
for play to start. The decision shall not thereafter be altered.
"
12.5. ,"5. Continuation After One Innings of Each Side
Despite the terms of 1. above, in a one innings match, when a
result has been reached on the first innings the Captains may agree
to the continuation of play if, in their opinion, there is a prospect
of carrying the game to a further issue in the time left. See Law 21
(Result).
NOTES
"
12.(a),"(a) Limited Innings - One Innings Match
In a one innings match, each innings may, by agreement, be
limited by a number of overs or by a period of time.
"
12.(b),"(b) Limited Innings - Two Innings Match
In a two innings match, the first innings of each side may, by
agreement, be limited to a number of overs or by a period of time.
"
13,"LAW 13 THE FOLLOW-ON
"
13.1. ,"1. Lead on First Innings
In a two innings match the side which bats first and leads by
200 runs in a match of five days or more, by 150 runs in a three-
day or four-day match, by 100 runs in a two-day match, or by 75
runs in a one-day match, shall have the option of requiring the
other side to follow their innings.
"
13.2. ,"2. Day’s Play Lost
If no play takes place on the first day of a match of 2 or more
days’ duration, 1. above shall apply in accordance with the number
of days’ play remaining from the actual start of the match.
"
14,"LAW 14 DECLARATIONS
"
14.1. ,"1. Time of Declaration
The Captain of the batting side may declare an innings closed
at any time during a match irrespective of its duration.
"
14.2. ,"2. Forfeiture of Second Innings
A Captain may forfeit his second innings, provided his decision
to do so is notified to the opposing Captain and Umpires in
sufficient time to allow 7 minutes rolling of the pitch. See Law 10.
(Rolling, Sweeping, Mowing, Watering the Pitch and Re-Marking
of Creases). The normal 10 minute interval between innings shall
be applied.
"
15,"LAW 15 START OF PLAY
"
15.1. ,"1. Call of Play
At the start of each innings and of each day’s play and on the
resumption of play after any interval or interruption the Umpire at
the Bowlers’ end shall call “play”.
"
15.2. ,"2. Practice on the Field
At no time on any day of the match shall there by any bowling
or batting practice on the pitch.
No practice may take place on the field if, in the opinion of the
Umpires, it could result in a waste of time.
"
15.3. ,"3. Trial Run-Up
No Bowler shall have a trial run-up after “play” has been called
in any session of play, except at the fall of a wicket when an
Umpire may allow such a trial run-up if he is satisfied that it will
not cause any waste of time.
"
16,"LAW 16 INTERVALS
"
16.1. ,"1. Length
The Umpire shall allow such intervals as have been agreed
upon for meals, and 10 minutes between each innings.
"
16.2. ,"2. Luncheon Interval - Innings Ending or Stoppage within
10 Minutes of Interval
If an innings ends or there is a stoppage caused by weather or
bad light within 10 minutes of the agreed time for the luncheon
interval, the interval shall be taken immediately.
The time remaining in the session of play shall be added to the
agreed length of the interval but no extra allowance shall be made
for the 10 minutes interval between innings.
"
16.3. ,"3. Tea Interval - Innings Ending or Stoppage within
30 Minutes of Interval
If an innings ends or there is a stoppage caused by weather or
bad light within 30 minutes of the agreed time for the tea interval,
the interval shall be taken immediately.
The interval shall be of the agreed length and, if applicable, shall
include the 10 minute interval between innings.
"
16.4. ,"4. Tea Interval - Continuation of Play
If at the agreed time for the tea interval, nine wickets are down,
play shall continue for a period not exceeding 30 minutes or until
the innings is concluded.
"
16.5. ,"5. Tea Interval - Agreement to Forego
At any time during the match, the Captains may agree to forego
a tea interval.
"
16.6. ,"6. Intervals for Drinks
If both Captains agree before the start of a match that intervals
for drinks may be taken, the option to take such intervals shall be
available to either side. These intervals shall be restricted to one
per session, shall be kept as short as possible, shall not be taken in
the last hour of the match and in any case shall not exceed 5
minutes.
The agreed times for these intervals shall be strictly adhered to
except that if a wicket falls within 5 minutes of the agreed time
then drinks shall be taken out immediately.
If an innings ends or there is a stoppage caused by weather or bad
light within 30 minutes of the agreed time for a drinks interval,
there will be no interval for drinks in that session.
At any time during the match the Captains may agree to forego
any such drinks interval.
NOTES
"
16.(a),"(a) Tea Interval - One-Day Match
In a one-day match, a specific time for the tea interval need not
necessarily be arranged, and it may be agreed to take this interval
between the innings of a one-innings match.
"
16.(b),"(b) Changing the Agreed Time of Intervals
In the event of the ground, weather or light conditions causing a
suspension of play, the Umpires, after consultation with the
Captains, may decide in the interests of time-saving, to bring
forward the time of the luncheon or tea interval.
"
17,"LAW 17 CESSATION OF PLAY
"
17.1. ,"1. Call of Time
The Umpire at the Bowler’s end shall call “time” on the
cessation of play before any interval or interruption of play, at the
end of each day’s play, and at the conclusion of the match. See
Law 27. (Appeals).
"
17.2. ,"2. Removal of Bails
After the call of “time”, the Umpires shall remove the bails
from both wickets.
"
17.3. ,"3. Starting a Last Over
The last over before an interval or the close of play shall be
started provided the Umpire, after walking at his normal pace, has
arrived at his position behind the stumps at the Bowler’s end
before time has been reached.
"
17.4. ,"4. Completion of the Last Over of a Session
The last over before an interval or the close of play shall be
completed unless a Batsman is out or retires during that over
within 2 minutes of the interval or the close of play or unless the
Players have occasion to leave the field.
"
17.5. ,"5. Completion of the Last Over of a Match
An over in progress at the close of play on the final day of a
match shall be completed at the request of either Captain even if a
wicket falls after time has been reached.
If during the last over the Players have occasion to leave the field
the Umpires shall call “time” and there shall be no resumption of
play and the match shall be at an end.
"
17.6. ,"6. Last Hour of Match - Number of Overs
The Umpires shall indicate when one hour of playing time of
the match remains according to the agreed hours of play. The next
over after that moment shall be the first of a minimum of 20 6-ball
overs, (15 8-ball overs), provided a result is not reached earlier or
there is no interval or interruption of play.
"
17.7. ,"7. Last Hour of Match - Intervals Between Innings and
Interruptions of Play
If, at the commencement of the last hour of the match, an
interval or interruption of play is in progress or if, during the last
hour there is an interval between innings or an interruption of play,
the minimum number of overs to be bowled on the resumption of
play shall be reduced in proportion to the duration, within the last
hour of the match, of any such interval or interruption.
The minimum number of overs to be bowled after a resumption of
play shall be calculated as follows:-
"
17.(a),"(a) In the case of an interval or interruption of play being in
progress at the commencement of the last hour of the match, or
in the case of a first interval or interruption a deduction shall be
made from the minimum of 20 6-ball overs (or 15 8-ball overs).
"
17.(b),"(b) If there is a later interval or interruption a further deduction
shall be made from the minimum number of overs which
should have been bowled following the last resumption of play.
"
17.(c),"(c) These deductions shall be based on the following factors:-
"
17.(i),"(i) the number of overs already bowled in the last hour of
the match or, in the case of a later interval or interruption in
the last session of play.
"
17.(ii),"(ii) the number of overs lost as a result of the interval or
interruption allowing one 6-ball over for every full three
minutes (or one 8-ball over for every full four minutes) of
interval or interruption.
"
17.(iii),"(iii) any over left uncompleted at the end of an innings to be
excluded from these calculations.
"
17.(iv),"(iv) any over left uncompleted at the start of an interruption
of play to be completed when play is resumed and to count
as one over bowled.
"
17.(v),"(v) an interval to start with the end of an innings and to end
10 minutes later; an interruption to start on the call of ‘time’
and to end on the call of ‘play’.
"
17.(d),"(d) In the event of an innings being completed and a new
innings commencing during the last hour of the match, the
number of overs to be bowled in the new innings shall be
calculated on the basis of one 6-ball over for every three
minutes or part thereof remaining for play (or one 8-ball over
for every four minutes or part thereof remaining for play); or
alternatively on the basis that sufficient overs be bowled to
enable the full minimum quota of overs to be completed under
circumstances governed by (a), (b) and (c) above. In all such
cases the alternative which allows the greater number of overs
shall be employed.
"
17.8. ,"8. Bowler Unable to Complete an Over During Last Hour
of the Match
If, for any reason, a Bowler is unable to complete an over
during the period of play referred to in 6. above, Law 22.7.
(Bowler Incapacitated or Suspended during an Over) shall apply.
"
18,"LAW 18 SCORING
"
18.1. ,"1. A Run
The score shall be reckoned by runs. A run is scored:-
"
18.(a),"(a) So often as the Batsmen, after a hit or at any time while the
ball is in play, shall have crossed and made good their ground
from end to end.
"
18.(b),"(b) When a boundary is scored. See Law 19. (Boundaries).
"
18.(c),"(c) When penalty runs are awarded. See 6. below.
"
18.2. ,"2. Short Runs
"
18.(a),"(a) If either Batsman runs a short run, the Umpire shall call
and signal “one short” as soon as the ball becomes dead and
that run shall not be scored. A run is short if a Batsman fails to
make good his ground on turning for a further run.
"
18.(b),"(b) Although a short run shortens the succeeding one, the
latter, if completed shall count.
"
18.(c),"(c) If either or both Batsmen deliberately run short the Umpire
shall, as soon as he sees that the fielding side have no chance of
dismissing either Batsman, call and signal “dead ball” and
disallow any runs attempted or previously scored. The
Batsmen shall return to their original ends.
"
18.(d),"(d) If both Batsmen run short in one and the same run, only
one run shall be deducted.
"
18.(e),"(e) Only if three or more runs are attempted can more than one
be short and then, subject to (c) and (d) above, all runs so called
shall be disallowed. If there has been more than one short run the
Umpires shall instruct the Scorers as to the number of runs
disallowed.
"
18.3. ,"3. Striker Caught
If the Striker is Caught, no run shall be scored.
"
18.4. ,"4. Batsman Run Out
If a Batsman is Run Out, only that run which was being
attempted shall not be scored. If, however, an injured Striker
himself is run out no runs shall be scored. See Law 2.7.
(Transgression of the Laws by an Injured Batsman or Runner).
"
18.5. ,"5. Batsman Obstructing the Field
If a Batsman is out Obstructing the Field, any runs completed
before the obstruction occurs shall be scored unless such obstruction
prevents a catch being made in which case no runs shall be scored.
"
18.6. ,"6. Runs Scored for Penalties
Runs shall be scored for penalties under Laws 20. (Lost Ball),
24.
No Ball), 25. (Wide Ball), 41.1. (Fielding the Ball) and for
boundary allowances under Law 19. (Boundaries).

"
18.7. ,"7. Batsman Returning to Wicket he has Left
If, while the ball is in play, the Batsmen have crossed in
running, neither shall return to the wicket he has left even though
a short run has been called or no run has been scored as in the case
of a catch. Batsmen, however, shall return to the wickets they
originally left in the cases of a boundary and of any disallowance of
runs and of an injured Batsman being, himself, run out. See Law
2.7. (Transgression of the Laws by an Injured Batsman or
Runner).

NOTES
"
18.(a),"(a) Short Run
A Striker taking stance in front of his popping crease may run
from that point without penalty.
24
"
19,"LAW 19 BOUNDARIES
"
19.1. ,"1. The Boundary of the Playing Area
Before the toss for innings, the Umpires shall agree with both
Captains on the boundary of the playing area. The boundary shall,
if possible, be marked by a white line, a rope laid on the ground, or
a fence. If flags or posts only are used to mark a boundary, the
imaginary line joining such points shall be regarded as the
boundary. An obstacle, or person, within the playing area shall not
be regarded as a boundary unless so decided by the Umpires
before the toss for innings. Sight-screens within, or partially
within, the playing area shall be regarded as the boundary and
when the ball strikes or passes within or under or directly over any
part of the screen, a boundary shall be scored.

"
19.2. ,"2. Runs Scored for Boundaries
Before the toss for innings, the Umpires shall agree with both
Captains the runs to be allowed for boundaries, and in deciding
the allowance for them, the Umpires and Captains shall be guided
by the prevailing custom of the ground. The allowance for a
boundary shall normally be 4 runs, and 6 runs for all hits pitching
over and clear of the boundary line or fence, even though the ball
has been previously touched by a Fieldsman. 6 runs shall also be
scored if a Fieldsman, after catching a ball, carries it over the
boundary. See Law 32. (Caught) Note (a). 6 runs shall not be
scored when a ball struck by the Striker hits a sightscreen full pitch
if the screen is within, or partially within, the playing area, but if
the ball is struck directly over a sightscreen so situated, 6 runs
shall be scored.

"
19.3. ,"3. A Boundary
A boundary shall be scored and signalled by the Umpire at the
Bowler’s end whenever, in his opinion:-
"
19.(a),"(a) A ball in play touches or crosses the boundary, however
marked.
"
19.(b),"(b) A Fieldsman with ball in hand touches or grounds any part
of his person on or over a boundary line.
"
19.(c),"(c) A Fieldsman with ball in hand grounds any part of his
person over a boundary fence or board. This allows the
Fieldsman to touch or lean on or over a boundary fence or
25
board in preventing a boundary.

"
19.4. ,"4. Runs Exceeding Boundary Allowance
The runs completed at the instant the ball reaches the
boundary shall count if they exceed the boundary allowance.

"
19.5. ,"5. Overthrows or Wilful Act of a Fieldsman
If the boundary results from an overthrow or from the wilful
act of a Fieldsman, any runs already completed and the allowance
shall be added to the score. The run in progress shall count
provided that the Batsmen have crossed at the instant of the throw
or act.

NOTES
"
19.(a),"(a) Position of Sight-Screens
Sight-screens should, if possible, be positioned wholly outside the
playing area, as near as possible to the boundary line.

"
20,"LAW 20 LOST BALL
"
