rule,text
1,"LAW 1 THE PLAYERS
"
1.1. ,"1. Number of Players and Captain
A match is played between two sides each of eleven Players, one of whom shall be Captain. In the event of the Captain not being available at any time a Deputy shall act for him.
"
1.2. ,"2. Nomination of Players
Before the toss for innings, the Captain shall nominate his Players who may not thereafter be changed without the consent of the opposing Captain.
NOTES
"
1.(a),"(a) More or Less than Eleven Players a Side
A match may be played by agreement between sides of more or less than eleven players but not more than eleven players may field.
"
2,"LAW 2 SUBSTITUTES AND RUNNERS:
BATSMAN OR FIELDSMAN LEAVING THE FIELD:
BATSMAN RETIRING:
BATSMAN COMMENCING INNINGS
"
2.1. ,"1. Substitutes
Substitutes shall be allowed by right to field for any player who during the match is incapacitated by illness or injury. The consent of the opposing Captain must be obtained for the use of a Substitute if any player is prevented from fielding for any other reason.
"
2.2. ,"2. Objection to Substitutes
The opposing Captain shall have no right of objection to any player acting as Substitute in the field, nor as to where he shall field, although he may object to the Substitute acting as Wicket-Keeper.
"
2.3. ,"3. Substitute Not to Bat or Bowl
A Substitute shall not be allowed to bat or bowl.
"
2.4. ,"4. A Player for whom a Substitute has acted
A player may bat, bowl or field even though a Substitute has acted for him.
6
"
2.5. ,"5. Runner
A Runner shall be allowed for a Batsman who during the match is incapacitated by illness or injury. The player acting as Runner shall be a member of the batting side and shall, if possible, have already batted in that innings.
"
2.6. ,"6. Runner’s Equipment
The player acting as Runner for an injured Batsman shall wear batting gloves and pads if the injured Batsman is so equipped.
"
2.7. ,"7. Transgression of the Laws by an Injured Batsman or Runner
An injured Batsman may be out should his Runner break any one of Laws 33. (Handled the Ball), 37. (Obstructing the Field) or 38. (Run Out). As Striker he remains himself subject to the Laws. Furthermore, should he be out of his ground for any purpose and the wicket at the Wicket-Keeper’s end be put down he shall be out under Law 38. (Run Out) or Law 39. (Stumped) irrespective of the position of the other Batsman or the Runner and no runs shall be scored.
When not the Striker, the injured Batsman is out of the game and shall stand where he does not interfere with the play. Should he bring himself into the game in any way then he shall suffer the penalties that any transgression of the Laws demands.
"
2.8. ,"8. Fieldsman Leaving the Field
No Fieldsman shall leave the field or return during a session of play without the consent of the Umpire at the Bowler’s end. The Umpire’s consent is also necessary if a Substitute is required for a Fieldsman, when his side returns to the field after an interval. If a member of the fielding side leaves the field or fails to return after an interval and is absent from the field for longer than 15 minutes, he shall not be permitted to bowl after his return until he has been on the field for at least that length of playing time for which he was absent. This restriction shall not apply at the start of a new day’s play.
"
2.9. ,"9. Batsman Leaving the Field or Retiring
A Batsman may leave the field or retire at any time owing to illness, injury or other unavoidable cause, having previously notified the Umpire at the Bowler’s end.
7
innings at the fall of a wicket, which for the purposes of this Law shall include the retirement of another Batsman.
If he leaves the field or retires for any other reason he may only resume his innings with the consent of the opposing Captain.
When a Batsman has left the field or retired and is unable to return owing to illness, injury or other unavoidable cause, his innings is to be recorded as “retired, not out”. Otherwise it is to be recorded as “retired, out”.
"
2.10. ,"10. Commencement of a Batsman’s Innings
A Batsman shall be considered to have commenced his innings once he has stepped on to the field of play.
NOTES
"
2.(a),"(a) Substitutes and Runners
For the purpose of these Laws allowable illnesses or injuries are those which occur at any time after the nomination by the Captains of their teams.
"
3,"LAW 3 THE UMPIRES
"
3.1. ,"1. Appointment
Before the toss for innings two Umpires shall be appointed, one for each end, to control the game with absolute impartiality as required by the Laws.
"
3.2. ,"2. Change of Umpire
No Umpire shall be changed during a match without the consent of both Captains.
"
3.3. ,"3. Special Conditions
Before the toss for innings, the Umpires shall agree with both Captains on any special conditions affecting the conduct of the match.

"
3.4. ,"4. The Wickets
The Umpires shall satisfy themselves before the start of the match that the wickets are properly pitched.
"
3.5. ,"5. Clock or Watch
The Umpires shall agree between themselves and inform both Captains before the start of the match on the watch or clock to be followed during the match.
8
"
3.6. ,"6. Conduct and Implements
Before and during a match the Umpires shall ensure that the conduct of the game and the implements used are strictly in accordance with the Laws.
"
3.7. ,"7. Fair and Unfair Play
The Umpires shall be the sole judges of fair and unfair play.
"
3.8. ,"8. Fitness of Ground, Weather and Light
"
3.(a),"(a) The Umpires shall be the sole judges of the fitness of the ground, weather and light for play.
"
3.(i),"(i) However, before deciding to suspend play or not to start play or not to resume play after an interval or stoppage, the Umpires shall establish whether both Captains (the Batsmen at the wicket may deputise for their Captain) wish to commence or to continue in the prevailing conditions; if so, their wishes shall be met.
"
3.(ii),"(ii) In addition, if during play, the Umpires decide that the light is unfit, only the batting side shall have the option of continuing play. After agreeing to continue to play in unfit light conditions, the Captain of the batting side (or a Batsman at the wicket) may appeal against the light to the Umpires, who shall uphold the appeal only if, in their opinion, the light has deteriorated since the agreement to continue was made.
"
3.(b),"(b) After any suspension of play, the Umpires, unaccompanied by any of the Players or Officials shall, on their own initiative, carry out an inspection immediately the conditions improve and shall continue to inspect at intervals. Immediately the Umpires decide that play is possible they shall call upon the Players to resume the game.
"
3.9. ,"9. Exceptional Circumstances
In exceptional circumstances, other than those of weather, ground or light, the Umpires may decide to suspend or abandon play. Before making such a decision the Umpires shall establish, if the circumstances allow, whether both Captains (the Batsmen at the wicket may deputise for their Captain) wish to continue in the prevailing conditions: if so their wishes shall be met.
"
3.10. ,"10. Position of Umpires
The Umpires shall stand where they can best see any act
9
upon which their decision may be required.
Subject to this over-riding consideration the Umpire at the Bowler’s end shall stand where he does not interfere with either the Bowler’s run up or the Striker’s view.

The Umpire at the Striker’s end may elect to stand on the off instead of the leg side of the pitch, provided he informs the Captain of the fielding side and the Striker of his intention to do so.
"
3.11. ,"11. Umpires Changing Ends
The Umpires shall change ends after each side has had one innings.
"
3.12. ,"12. Disputes
All disputes shall be determined by the Umpires and if they disagree the actual state of things shall continue.
"
3.13. ,"13. Signals
The following code of signals shall be used by Umpires who will wait until a signal has been answered by a Scorer before allowing the game to proceed.
Boundary - by waving the arm from side to side.
Boundary 6 - by raising both arms above the head.
Bye - by raising an open hand above the head.
Dead Ball - by crossing and re-crossing the wrists below the waist.
Leg Bye - by touching a raised knee with the hand.
No Ball - by extending one arm horizontally.
Out - by raising the index finger above the head. If not out the Umpire shall call “not out”.
Short Run - by bending the arm upwards and by touching the nearer shoulder with the tips of the fingers.
Wide - by extending both arms horizontally.
"
3.14. ,"14. Correctness of Scores
The Umpires shall be responsible for satisfying themselves on the correctness of the scores throughout and at the conclusion of the match. See Law 21.6. (Correctness of Result).
NOTES
"
3.(a),"(a) Attendance of Umpires
The Umpires should be present on the ground and report to the Ground Executive or the equivalent at least 30 minutes before the
10
start of a day's play.
"
3.(b),"(b) Consultation Between Umpires and Scorers
Consultation between Umpires and Scorers over doubtful points is essential.
"
3.(c),"(c) Fitness of Ground
The Umpires shall consider the ground as unfit for play when it is so wet or slippery as to deprive the Bowlers of a reasonable foothold, the Fieldsmen, other than the deep-fielders, of the power of free movement, or the Batsmen the ability to play their strokes or to run between the wickets. Play should not be suspended merely because the grass and the ball are wet and slippery.
"
3.(d),"(d) Fitness of Weather and Light
The Umpires should only suspend play when they consider that the conditions are so bad that it is unreasonable or dangerous to continue.
"
4,"LAW 4 THE SCORERS
"
4.1. ,"1. Recording Runs

All runs scored shall be recorded by Scorers appointed for the purpose. Where there are two Scorers they shall frequently check to ensure that the score sheets agree.
"
4.2. ,"2. Acknowledging Signals
The Scorers shall accept and immediately acknowledge all instructions and signals given to them by the Umpires.
"
5,"LAW 5 THE BALL
"
5.1. ,"1. Weight and Size
The ball, when new, shall weigh not less than 5½ ounces/155.9g., nor more than 5¾ ounces/163g.: and shall measure not less than 8 13/16 inches/22.4 cm., nor more than 9 inches/22.9 cm. in circumference.
"
5.2. ,"2. Approval of Balls
All balls used in matches shall be approved by the Umpires and Captains before the start of the match.
"
5.3. ,"3. New Ball
Subject to agreement to the contrary, having been made before
11
the toss, either Captain may demand a new ball at the start of each innings.
"
5.4. ,"4. New Ball in Match of 3 or more Days Duration
In a match of 3 or more days duration, the Captain of the fielding side may demand a new ball after the prescribed number of overs has been bowled with the old one. The Governing Body for cricket in the country concerned shall decide the number of overs applicable in that country which shall be not less than 75 six-ball overs (55 eight-ball overs).
"
5.5. ,"5. Ball Lost or Becoming Unfit for Play
In the event of a ball during play being lost or, in the opinion of the Umpires, becoming unfit for play, the Umpires shall allow it to be replaced by one that in their opinion has had a similar amount of wear. If a ball is to be replaced, the Umpires shall inform the Batsmen.
NOTES
"
5.(a),"(a) Specifications
The specifications, as described in 1. above shall apply to top- grade balls only. The following degrees of tolerance will be acceptable for other grades of ball.
"
5.(i),"(i) Men's Grades 2-4
Weight: 5 5/16 ounces/150g. to 5 13/16 ounces/165g.
Size: 8 11/16 inches/22.0cm. to 9 1/16 inches/23.0cm.
"
5.(ii),"(ii) Women’s
Weight: 4 15/16 ounces/140g. to 5 5/16 ounces/150g.
Size: 8¼ inches/21.0cm to 8 ⅞ inches/22.5cm.
"
5.(iii),"(iii) Junior
Weight: 4 5/16 ounces/133g. to 5 1/16 ounces/143g.
Size: 8 1/16 inches/20.5cm. to 8 11/16 inches/22.0cm.
"
6,"LAW 6 THE BAT
"
6.1. ,"1. Width and Length
The bat overall shall not be more than 38 inches/96.5 cm. in length; the blade of the bat shall be made of wood and shall not

exceed 4¼ inches/10.8 cm. at the widest part.
NOTES
"
6.(a),"(a) The blade of the bat may be covered with material for
12
protection, strengthening or repair. Such material shall not exceed 1/16 inches/1.56 mm. in thickness.
"
7,"LAW 7 THE PITCH
"
7.1. ,"1. Area of Pitch
The pitch is the area between the bowling creases — see Law 9. (The Bowling, Popping and Return Creases). It shall measure 5 ft./1.52m. in width on either side of a line joining the centre of the middle stumps of the wickets — see Law 8. (The Wickets).
"
7.2. ,"2. Selection and Preparation
Before the toss for innings, the Executive of the Ground shall be responsible for the selection and preparation of the pitch; thereafter the Umpires shall control its use and maintenance.
"
7.3. ,"3. Changing Pitch
The pitch shall not be changed during a match unless it becomes unfit for play, and then only with the consent of both Captains.
"
7.4. ,"4. Non-Turf Pitches
In the event of a non-turf pitch being used, the following shall apply:-
"
7.(a),"(a) LENGTH: That of the playing surface to a minimum of 58ft. (17.68 m.)
"
7.(b),"(b) WIDTH: That of the playing surface to a minimum of 6ft. (1.83 m.)
See Law 10. (Rolling, Sweeping, Mowing, Watering the Pitch and Re-marking of Creases) Note (a).
"
8,"LAW 8 THE WICKETS
"
8.1. ,"1. Width and Pitching
Two sets of wickets, each 9 inches/22.86 cm. wide, and consisting of three wooden stumps with two wooden bails upon the top, shall be pitched opposite and parallel to each other at a distance of 22 yards/20.12m. between the centres of the two middle stumps.
"
8.2. ,"2. Size of Stumps
The stumps shall be of equal and sufficient size to prevent the ball from passing between them. Their tops shall be 28 inches/
13
71.1cm. above the ground, and shall be dome-shaped except for the bail grooves.
"
8.3. ,"3. Size of Bails
The bails shall be each 4⅜ inches/11.1cm. in length and when in position on the top of the stumps shall not project more than ½ inch/1.3cm. above them.
NOTES
"
8.(a),"(a) Dispensing with Bails
In a high wind the Umpires may decide to dispense with the use of bails.
"
8.(b),"(b) Junior Cricket
For Junior Cricket, as defined by the local Governing Body, the following measurements for the Wickets shall apply:-
Width - 8 inches/20.32 cm.
Pitched - 21 yards/19.20 m.
Height - 27 inches/68.58 cm.
Bails - each 3⅞ inches/9.84 cm. in length and should not project more than ½ inch/1.3cm. above them.
"
9,"LAW 9 THE BOWLING, POPPING AND
RETURN CREASES
"
9.1. ,"1. The Bowling Crease
The bowling crease shall be marked in line with the stumps at each end and shall be 8 ft. 8 inches/2.64 m. in length, with the stumps in the centre.
"
9.2. ,"2. The Popping Crease
The popping crease, which is the back edge of the crease marking, shall be in front of and parallel with the bowling crease. It shall have the back edge of the crease marking 4 ft./1.22 m. from the centre of the stumps and shall extend to a minimum of 6 ft./ 1.83 m. on either side of the line of the wicket.
The popping crease shall be considered to be unlimited in length.
"
9.3. ,"3. The Return Crease
The return crease marking, of which the inside edge is the crease, shall be at each end of the bowling crease and at right angles to it. The return crease shall be marked to a minimum of 4 ft./1.22 m. behind the wicket and shall be considered to be
14
unlimited in length. A forward extension shall be marked to the popping crease.
"
10,"LAW 10 ROLLING, SWEEPING, MOWING,
WATERING THE PITCH AND
RE-MARKING OF CREASES
"
10.1. ,"1. Rolling
During the match the pitch may be rolled at the request of the Captain of the batting side, for a period of not more than 7 minutes before the start of each innings, other than the first innings of the match, and before the start of each day’s play. In addition, if, after the toss and before the first innings of the match, the start is delayed, the Captain of the batting side shall have the right to have the pitch rolled for not more than 7 minutes.
The pitch shall
not otherwise be rolled during the match.
The 7 minutes rolling permitted before the start of a day’s play
shall take place not earlier than half an hour before the start of play
and the Captain of the batting side may delay such rolling until 10
minutes before the start of play should he so desire.
If a Captain declares an innings closed less than 15 minutes before
the resumption of play, and the other Captain is thereby prevented
from exercising his option of 7 minutes rolling or if he is so
prevented for any other reason the time for rolling shall be taken
out of the normal playing time.
"
10.2. ,"2. Sweeping
Such sweeping of the pitch as is necessary during the match
shall be done so that the 7 minutes allowed for rolling the pitch
provided for in 1. above is not affected.
"
10.3. ,"3. Mowing
"
10.(a),"(a) Responsibilities of Ground Authority and of Umpires
All mowings which are carried out before the toss for
innings shall be the responsibility of the Ground Authority.
Thereafter they shall be carried out under the supervision of
the Umpires, see Law 7.2. (Selection and Preparation).
"
10.(b),"(b) Initial Mowing
The pitch shall be mown before play begins on the day the
match is scheduled to start or in the case of a delayed start on
the day the match is expected to start. See 3(a) above.
(Responsibilities of Ground Authority and of Umpires).
"
10.(c),"(c) Subsequent Mowings in a Match of 2 or More Days’
Duration
In a match of two or more days’ duration, the pitch shall be
mown daily before play begins. Should this mowing not take
place because of weather conditions, rest days or other reasons
the pitch shall be mown on the first day on which the match is
resumed.
"
10.(d),"(d) Mowing of the Outfield in a Match of 2 or More Days’
Duration
In order to ensure that conditions are as similar as possible
for both sides, the outfield shall normally be mown before the
commencement of play on each day of the match, if ground and
weather conditions allow. See Note (b) to this Law.
"
10.4. ,"4. Watering
The pitch shall not be watered during a match.
"
10.5. ,"5. Re-Marking Creases
Whenever possible the creases shall be re-marked.
"
10.6. ,"6. Maintenance of Foot Holes
In wet weather, the Umpires shall ensure that the holes made
by the Bowlers and Batsmen are cleaned out and dried whenever
necessary to facilitate play. In matches of 2 or more days’ duration,
the Umpires shall allow, if necessary, the re-turfing of foot holes
made by the Bowler in his delivery stride, or the use of quick-
setting fillings for the same purpose, before the start of each day’s
play.
"
10.7. ,"7. Securing of Footholds and Maintenance of Pitch
During play, the Umpires shall allow either Batsman to beat
the pitch with his bat and players to secure their footholds by the
use of sawdust, provided that no damage to the pitch is so caused,
and Law 42. (Unfair Play) is not contravened.
NOTES
"
10.(a),"(a) Non-Turf Pitches
The above Law 10 applies to turf pitches.
The game is played on non-turf pitches in many countries at
various levels. Whilst the conduct of the game on these surfaces
should always be in accordance with the Laws of Cricket, it is
recognised that it may sometimes be necessary for Governing
Bodies to lay down special playing conditions to suit the type of
non-turf pitch used in their country.
In matches played against Touring Teams, any special playing
conditions should be agreed in advance by both parties.
"
10.(b),"(b) Mowing of the Outfield in a Match of 2 or More Days’
Duration
If, for reasons other than ground and weather conditions, daily
and complete mowing is not possible, the Ground Authority shall
notify the Captains and Umpires, before the toss for innings, of the
procedure to be adopted for such mowing during the match.
"
