rule,text
19.—,"19.—A Batsman shall be held to be “out of his ground,” unless his bat in hand, or some part of his person be grounded within the line of the Popping Crease.
Notes on Law 19.
It is sufficient if part of the batsman’s foot is grounded within the line.
If the foot is on the line, but no part is within, the batsman would be “out of his ground.”
If the batsman is in the act of jumping in the air and the bat is also off the ground he would be “out of his ground.”
9
"
20.—,"20.—The wicket shall be held to be “down,” when either of the bails is struck off, or if both bails be off, when a stump is struck out of the ground.
Notes on Law 20.
If one bail is off it is sufficient to remove the remaining one with the ball in order to stump or run a batsman out.
Although the Law says nothing about the stumps being pulled out it is customary to run a batsman out in this way when the bails are off; but the ball must be in the fieldsman’s hand when he uses it for this purpose.
The Striker is Out—
"
21.—,"21.—If the wicket be bowled down, even if the ball first touch the Striker’s bat or person;—“Bowled.”
Note on Law 21.
An Umpire would be justified in giving a batsman out “Bowled” if a stump were bowled down, but the bails by some mischance remained in position.
"
22.—,"22.—Or, if the ball, from a stroke of the bat or hand, but not the wrist, be held before it touch the ground, although it be hugged to the body of the catcher;—“Caught.”
Notes on Law 22.
The ball must not touch the ground before it is held; but the hand holding the ball may touch the ground in effecting the catch.
When a fieldsman catches a ball and falls and the ball touches the ground, it is a question of fact for the Umpire to decide whether or not the catch was completed before the ball touched the ground.
When a Batsman plays a ball on to the ground and in order to prevent it hitting the wicket, after touching the ground, he strikes it again and the ball is caught, the batsman is not out. But if he hit the ball a second time before it touches the ground and is caught, he would be out under this Law.
A Batsman would be out if caught off a ball which before striking the bat had hit his pad.
If no boundaries have been arranged a Striker can be caught off a tree, hedge, or building.
"
23.—,"23.—Or, if in playing at the ball, provided it be not touched by the bat or hand, the Striker be out of his ground, and the wicket be put down by the wicket-keeper with the ball, or with hand or arm with ball in hand “Stumped.”
Notes on Law 23.
If the ball rebounds off the pads or person of the wicket-keeper, without having first touched the bat or hand of the Striker, and the Striker is out of his ground the decision should be “Stumped,” and not “Run Out.”

10
It is sufficient for the wicket-keeper to remove one bail in order to run out or stump a batsman.
It would not be out if he were to knock the bails off with his foot, or with an arm or hand not holding the ball.
"
24.—,"24.—Or, if with part of his person he stops the ball, which in the opinion of the Umpire at the bowler’s wicket, shall have been pitched in a straight line from it to the Striker’s wicket and would have hit it;—“Leg before wicket.”
Notes on Law 24.
A Batsman may be out lbw, although the bowler is bowling round the wicket, if the case comes within this Law.
There are three considerations which an Umpire must bear in mind:—
(1) Would the ball have hit the wicket? (2) Did it pitch in a straight line between wicket and wicket? (3) Was it part of the batsman’s person which intercepted the ball? If these questions are answered in the affirmative the batsman would be out.
It is immaterial whether the ball breaks or not. It is sometimes only possible for a bowler bowling round the wicket to obtain an lbw with a breaking ball.

"
25.—,"25.—Or, if in playing at the ball he hit down his wicket with his bat or any part of his person or dress;—“Hit Wicket.”
Notes on Law 25.
(See Law 16, Note 3.)
If in making a second stroke to keep a ball out of his wicket, the Striker hit down his wicket as above he would be out.
A batsman would not be out for breaking the wicket either with his bat or person when in the act of running.
If while playing at the ball, but not otherwise, the Striker’s hat or cap fell on the wicket and dislodged a bail he would be out.

"
26.—,"26.—Or, if under pretence of running, or otherwise, either of the batsmen wilfully prevent a ball from being caught;—“Obstructing the field.”
Note on Law 26.
It should be noted that it is the Striker who is out if this Law is infringed.
"
27.—,"27.—Or, if the ball be struck or be stopped by any part of his person, and he wilfully strike it again, except it be done for the purpose of guarding his wicket, which he may do with his bat, or any part of his person, except his hands;—“Hit the ball twice.”
11
Notes on Law 27.
It is for the Umpire to decide whether the ball has been struck “wilfully” for some purpose other than that of guarding the wicket. The fact that a run is attempted may be evidence of the batsman’s intention to take advantage of the second stroke and the Umpire is entitled to regard it as such, but it is not conclusive.
If the ball has been lawfully struck twice and an overthrow is made, the batsmen are entitled to the runs which follow.
A Striker may be out for hitting the ball twice, although no run is attempted.
Either Batsman is Out—
"
28.—,"28.—If in running, or at any other time, when the ball is in play he be out of his ground, and his wicket be struck down by the ball after touching any fieldsman, or by the hand or arm, with ball in hand, of any fieldsman;—“Run out.”
Notes on Law 28.
(See Notes to Law 20.)
It would not be out if the striker hit the ball into the opposite wickets—the other batsman being out of his ground—unless the ball had been touched by a fieldsman after being hit and before striking the wickets.
Either batsman can be “run out” at any time when the ball is in play by any fieldsman, including the bowler.
For a definition of “out of his ground” see Law 19 and Notes.
"
