name,distribution,best_fit,pl_alpha,pl_ll,po_lambda,po_ll,plc_alpha,plc_lam,plc_ll
1918,out_weight,powerlaw,1.51352,-29.0679,2.82353,-40.0385,1.51352,2.60348e-15,-29.0679
1920,in_degree,poisson,1.12016,-24.2467,1.56,-23.8366,,,-inf
1920,out_degree,powerlaw,1.36944,-25.4962,2.4375,-30.0011,1.36944,1.65624e-11,-25.4962
1920,in_weight,poisson,1.53888,-32.9325,1.84,-32.7146,,,-inf
1920,out_weight,powerlaw,1.42649,-28.5995,2.875,-37.0927,1.38677,0.0123237,-28.5985
1923,in_degree,poisson,0.708679,-26.1431,1.68,-24.7105,,,-inf
1923,out_degree,powerlaw,1.52017,-26.8702,2.33333,-33.5839,1.52017,3.72484e-12,-26.8702
1923,in_weight,poisson,1.23037,-36.9256,2.04,-34.4624,,,-inf
1923,out_weight,powerlaw,1.53169,-30.4848,2.83333,-42.8756,1.53169,5.17001e-13,-30.4848
1932,in_degree,poisson,0.870397,-22.4263,1.63636,-21.6017,,,-inf
1932,out_degree,powerlaw,1.47761,-22.8233,2.4,-28.8849,1.47761,1.54194e-12,-22.8233
1932,in_weight,poisson,1.2655,-32.1147,2.04545,-30.992,,,-inf
1932,out_weight,powerlaw,1.46809,-26.2572,3,-37.6992,1.46809,5.53657e-13,-26.2572
1939,in_degree,poisson,0.906422,-39.298,1.93548,-39.218,,,-inf
1939,out_degree,powerlaw,1.25679,-37.761,2.5,-45.5944,1.25679,1.1132e-12,-37.761
1939,in_weight,poisson,1.25879,-48.7397,2.22581,-47.6442,,,-inf
1939,out_weight,powerlaw,1.30556,-42.7075,2.875,-52.4225,1.30556,4.23307e-12,-42.7075
1947,in_degree,powerlaw,1.37752,-37.8784,2.03704,-39.6017,0.285339,0.484672,-37.5166
1947,out_degree,powerlaw,1.23792,-34.0836,3.05556,-40.7887,0.93064,0.0968159,-34.0235
1947,in_weight,powerlaw,1.42689,-39.8034,2.14815,-42.6311,0.609745,0.33857,-39.5334
1947,out_weight,powerlaw,1.29151,-35.184,3.22222,-44.1543,0.983354,0.0900555,-35.1081
1952,in_degree,powerlaw,1.36654,-42.2819,2.14286,-42.5941,,,-inf
1952,out_degree,powerlaw,1.4167,-38.957,2.6087,-46.689,1.18399,0.0797108,-38.9212
1952,in_weight,powerlaw,1.31928,-43.0545,2.21429,-44.0536,,,-inf
1952,out_weight,powerlaw,1.38503,-39.525,2.69565,-48.2906,1.35864,0.00890358,-39.5245
1962,in_degree,poisson,1.23124,-44.4553,2.25,-43.3645,,,-inf
1962,out_degree,powerlaw,1.4278,-40.4422,2.625,-49.6699,1.39771,0.0102375,-40.4416
1962,in_weight,poisson,1.18611,-45.1507,2.32143,-44.6963,,,-inf
1962,out_weight,powerlaw,1.39727,-41.0149,2.70833,-51.2582,1.39727,3.15546e-12,-41.0149
1968,in_degree,poisson,1.37632,-42.1204,2.10714,-41.7132,,,-inf
1968,out_degree,powerlaw,1.29451,-37.5446,2.80952,-44.9223,1.04286,0.0841649,-37.5045
1968,in_weight,powerlaw,1.32889,-42.8986,2.17857,-43.2171,,,-inf
1968,out_weight,powerlaw,1.2616,-38.0627,2.90476,-46.3447,1.21376,0.0157757,-38.0613
1980,in_degree,powerlaw,1.06231,-43.6487,2.12903,-45.5106,0.71557,0.160006,-43.6164
1980,out_degree,poisson,1.16337,-45.2165,2.64,-45.095,,,-inf
1980,in_weight,powerlaw,1.08619,-51.6224,2.48387,-52.7049,,,-inf
1980,out_weight,powerlaw,1.07129,-50.4811,3.08,-50.5854,,,-inf
1992,in_degree,powerlaw,0.941647,-43.5192,2.2,-44.3626,0.0402822,0.41361,-43.3025
1992,out_degree,powerlaw,1.17174,-45.0789,2.64,-45.3827,,,-inf
1992,in_weight,powerlaw,1.00741,-51.1291,2.56667,-51.5593,,,-inf
1992,out_weight,powerlaw,1.07835,-50.3545,3.08,-50.8731,,,-inf
2000,in_degree,poisson,0.723568,-97.5217,4.71053,-91.299,,,-inf
2000,out_degree,powerlaw,0.544993,-88.4089,4.83784,-95.4746,,,-inf
2000,in_weight,powerlaw,0.931599,-115.152,6.68421,-140.673,,,-inf
2000,out_weight,powerlaw_cutoff,0.769021,-105.556,6.86486,-138.212,0.0984354,0.119151,-104.135
